24.3.2021 г. 23:20:51	This log contains information about the import schema operation into project 'FlightsManagerSQLForTests' on computer 'LENOVO-PC' by user 'Niki'.
24.3.2021 г. 23:20:52	Import of database schema has started.
24.3.2021 г. 23:21:01	Gathering database credentials
24.3.2021 г. 23:21:01	Gathering database options
24.3.2021 г. 23:21:01	Gathering users
24.3.2021 г. 23:21:01	Gathering roles
24.3.2021 г. 23:21:01	Gathering application roles
24.3.2021 г. 23:21:01	Gathering role memberships
24.3.2021 г. 23:21:01	Gathering filegroups
24.3.2021 г. 23:21:01	Gathering full-text catalogs
24.3.2021 г. 23:21:01	Gathering assemblies
24.3.2021 г. 23:21:01	Gathering certificates
24.3.2021 г. 23:21:01	Gathering asymmetric keys
24.3.2021 г. 23:21:01	Gathering symmetric keys
24.3.2021 г. 23:21:01	Gathering encrypted symmetric keys
24.3.2021 г. 23:21:01	Gathering schemas
24.3.2021 г. 23:21:01	Gathering XML schema collections
24.3.2021 г. 23:21:01	Gathering user-defined data types
24.3.2021 г. 23:21:01	Gathering user-defined types
24.3.2021 г. 23:21:01	Gathering table types
24.3.2021 г. 23:21:01	Gathering unique keys for table types
24.3.2021 г. 23:21:01	Gathering primary keys for table types
24.3.2021 г. 23:21:01	Gathering indexes for table types
24.3.2021 г. 23:21:01	Gathering check constraints for table types
24.3.2021 г. 23:21:01	Gathering default constraints for table types
24.3.2021 г. 23:21:01	Gathering partition functions
24.3.2021 г. 23:21:01	Gathering partition schemes
24.3.2021 г. 23:21:01	Gathering functions
24.3.2021 г. 23:21:01	Gathering encrypted functions
24.3.2021 г. 23:21:01	Gathering aggregates
24.3.2021 г. 23:21:01	Gathering procedures
24.3.2021 г. 23:21:01	Gathering encrypted procedures
24.3.2021 г. 23:21:01	Gathering tables
24.3.2021 г. 23:21:01	Gathering primary keys
24.3.2021 г. 23:21:01	Gathering unique constraints
24.3.2021 г. 23:21:01	Gathering foreign keys
24.3.2021 г. 23:21:02	Gathering default constraints
24.3.2021 г. 23:21:02	Gathering check constraints
24.3.2021 г. 23:21:02	Gathering views
24.3.2021 г. 23:21:02	Gathering encrypted views
24.3.2021 г. 23:21:02	Gathering indexes
24.3.2021 г. 23:21:02	Gathering statistics
24.3.2021 г. 23:21:02	Gathering full-text index stoplists
24.3.2021 г. 23:21:02	Gathering search property lists
24.3.2021 г. 23:21:02	Gathering search properties
24.3.2021 г. 23:21:02	Gathering full-text indexes
24.3.2021 г. 23:21:02	Gathering column store indexes
24.3.2021 г. 23:21:02	Gathering spatial indexes
24.3.2021 г. 23:21:02	Gathering XML indexes
24.3.2021 г. 23:21:02	Gathering Selective XML indexes
24.3.2021 г. 23:21:02	Gathering encrypted triggers
24.3.2021 г. 23:21:02	Gathering triggers
24.3.2021 г. 23:21:02	Gathering encrypted and clr ddl triggers
24.3.2021 г. 23:21:02	Gathering ddl triggers
24.3.2021 г. 23:21:02	Gathering synonyms
24.3.2021 г. 23:21:02	Gathering defaults
24.3.2021 г. 23:21:02	Gathering data constraint uddt bindings
24.3.2021 г. 23:21:02	Gathering rules
24.3.2021 г. 23:21:02	Gathering data constraint uddt bindings
24.3.2021 г. 23:21:02	Gathering message types
24.3.2021 г. 23:21:02	Gathering queues
24.3.2021 г. 23:21:02	Gathering contracts
24.3.2021 г. 23:21:02	Gathering services
24.3.2021 г. 23:21:02	Gathering event notifications
24.3.2021 г. 23:21:02	Gathering remote service bindings
24.3.2021 г. 23:21:02	Gathering broker priorities
24.3.2021 г. 23:21:02	Gathering signatures
24.3.2021 г. 23:21:02	Gathering data compression options
24.3.2021 г. 23:21:02	Gathering sequence types
24.3.2021 г. 23:21:02	Gathering security policies
24.3.2021 г. 23:21:02	Gather column encryption keys
24.3.2021 г. 23:21:02	Gathering column master keys
24.3.2021 г. 23:21:02	Gathering external data sources
24.3.2021 г. 23:21:02	Gathering external file formats
24.3.2021 г. 23:21:02	Gathering external tables
24.3.2021 г. 23:21:02	Gathering extended properties
24.3.2021 г. 23:21:02	Gathering credentials
24.3.2021 г. 23:21:02	Gathering logins
24.3.2021 г. 23:21:02	Gathering server audits
24.3.2021 г. 23:21:02	Scanning project for duplicate elements
24.3.2021 г. 23:21:02	Finished duplicate element processing
24.3.2021 г. 23:21:03	Finished importing database.
24.3.2021 г. 23:21:03	A summary of the import was saved to the following location: C:\Users\Niki\Documents\GitHub\FlightsManager-Repo\FlightsManagerSQLForTests\Import Schema Logs\FlightsManagerSQLFor_20210324092051.log
24.3.2021 г. 23:21:04	Click Finish to continue...
